abn,entity_name,entity_type,entity_status,entity_address,entity_postcode,entity_state,entity_start_date,acn,trading_names
43469684905,Gold Coast Tourism Pty Ltd,CORP,Deregistered,"237 Jones Ave, Sydney",1057,ACT,2016-04-03,140331150,
35789092961,Sydney Manufacturing Co Pty Ltd,LTD,Deregistered,"897 Jones Ave, Melbourne",4093,VIC,2001-09-23,300071979,Sydney Manufacturing Co Trading
31166032863,Ballarat Mining Group,TRUST,Cancelled,"894 Brown Rd, Sydney",4358,ACT,1991-10-03,920978238,
25508378504,Gold Coast Tourism Group,PTY,Cancelled,"406 Taylor Ct, Perth",7801,NSW,2005-02-20,922687788,
26622422366,Bendigo Financial Services Pty Ltd,IND,Cancelled,"610 Smith St, Sydney",1980,TAS,2000-05-24,362397452,
71654553647,Launceston Timber Ltd,PART,Active,"601 Jones Ave, Sydney",4618,SA,2018-01-08,140921577,Launceston Timber Trading
57847836370,Canberra Education Services Pty Ltd,LTD,Cancelled,"500 Brown Rd, Perth",4941,QLD,2006-10-05,848655129,
48171169663,Launceston Timber Corp,COOP,Deregistered,"38 Jones Ave, Adelaide",2424,WA,1997-08-22,250765024,
88363166816,Brisbane Software Systems Corp,PART,Active,"711 Smith St, Perth",5234,NT,2007-10-24,104777165,
18202387782,Wollongong Steel Works Corp,IND,Deregistered,"462 Wilson Dr, Melbourne",8062,NSW,2019-01-28,357613436,
93301109922,Melbourne Consulting Group Corp,CORP,Cancelled,"200 Wilson Dr, Sydney",7063,NSW,2016-02-28,977518390,
45754899094,Newcastle Construction Ltd,COOP,Cancelled,"616 Jones Ave, Sydney",1745,WA,2018-12-08,183856578,
49199885010,Launceston Timber Group,PART,Cancelled,"831 Brown Rd, Perth",3150,TAS,2024-10-11,254662566,
86423921341,Adelaide Healthcare Corp,COOP,Deregistered,"867 Smith St, Brisbane",5566,VIC,1994-04-12,178958414,
31563545950,Toowoomba Manufacturing Group,CORP,Cancelled,"215 Smith St, Canberra",8696,ACT,2020-07-07,225766620,
33725221830,Ballarat Mining Group,LTD,Cancelled,"984 Jones Ave, Brisbane",2871,WA,2016-09-16,940860966,
81332160776,Cairns Agriculture Ltd,LTD,Active,"296 Taylor Ct, Canberra",4624,WA,1995-07-15,826336291,
46717649023,Adelaide Healthcare Group,CORP,Deregistered,"256 Brown Rd, Melbourne",4076,NSW,2002-04-16,816153067,
61604608753,Toowoomba Manufacturing Ltd,IND,Deregistered,"686 Brown Rd, Brisbane",9386,NSW,2019-09-07,990704927,
85529184190,Geelong Automotive Pty Ltd,LTD,Cancelled,"222 Jones Ave, Perth",5736,VIC,2018-05-14,466867485,
53795689794,Darwin Transport Co Ltd,CORP,Cancelled,"711 Wilson Dr, Brisbane",2158,WA,2010-08-15,173719225,
92241408212,Melbourne Consulting Group Corp,COOP,Cancelled,"433 Smith St, Perth",6186,ACT,2008-10-20,355542728,
99647701667,Brisbane Software Systems Corp,PART,Cancelled,"908 Jones Ave, Sydney",6181,TAS,2020-12-25,174390065,Brisbane Software Systems Trading
75756323911,Brisbane Software Systems Pty Ltd,IND,Active,"895 Brown Rd, Melbourne",7000,VIC,2009-01-07,700590377,
26233037476,Melbourne Consulting Group Group,PART,Active,"471 Jones Ave, Canberra",4602,WA,2015-05-07,725868891,
79888259709,Newcastle Construction Group,COOP,Deregistered,"106 Taylor Ct, Brisbane",7771,NSW,2023-03-25,373803285,Newcastle Construction Trading
38322082144,Launceston Timber Corp,PART,Cancelled,"462 Jones Ave, Brisbane",3876,SA,2000-01-08,207422660,
47372931853,Perth Mining Services Group,CORP,Cancelled,"208 Taylor Ct, Melbourne",5091,VIC,2010-12-18,367009276,
98883639825,Townsville Marine Services Corp,PART,Deregistered,"414 Smith St, Sydney",2794,ACT,2022-01-23,539902898,Townsville Marine Services Trading
45486857433,Hobart Fisheries Corp,COOP,Deregistered,"518 Smith St, Brisbane",2484,NSW,1999-10-08,624861591,Hobart Fisheries Trading
34909548869,Melbourne Consulting Group Corp,PART,Cancelled,"15 Taylor Ct, Canberra",4364,NSW,1998-06-20,258221093,Melbourne Consulting Group Trading
39652987949,Perth Mining Services Corp,PART,Active,"949 Smith St, Perth",7601,WA,2020-06-04,824907181,
58919875518,Rockhampton Resources Group,PART,Active,"915 Brown Rd, Adelaide",1622,WA,2003-09-21,110923518,Rockhampton Resources Trading
41306493660,Gold Coast Tourism Pty Ltd,PART,Deregistered,"664 Taylor Ct, Sydney",6395,ACT,2005-04-25,536561765,
82698116205,Gold Coast Tourism Ltd,TRUST,Active,"350 Wilson Dr, Sydney",6189,SA,1993-06-10,905068711,
58169535541,Bendigo Financial Services Ltd,IND,Active,"106 Taylor Ct, Adelaide",9019,NT,2002-09-21,817730149,
37533616223,Melbourne Consulting Group Ltd,PART,Cancelled,"474 Smith St, Sydney",9122,WA,2023-12-02,311563571,
20381868038,Melbourne Consulting Group Group,LTD,Deregistered,"745 Wilson Dr, Melbourne",8817,TAS,1994-07-01,670448148,
76351981608,Ballarat Mining Corp,LTD,Deregistered,"222 Taylor Ct, Brisbane",2568,TAS,2005-11-15,243957468,Ballarat Mining Trading
63391409990,Perth Mining Services Corp,LTD,Active,"623 Wilson Dr, Adelaide",4671,VIC,2015-03-12,681752076,
95871656953,Bendigo Financial Services Ltd,CORP,Deregistered,"526 Taylor Ct, Adelaide",5518,QLD,2024-05-23,796516668,
23224547841,Geelong Automotive Ltd,PART,Cancelled,"187 Brown Rd, Adelaide",7213,QLD,2007-01-04,844387677,
59587587088,Newcastle Construction Corp,CORP,Cancelled,"963 Wilson Dr, Sydney",7564,SA,2015-06-12,362858753,
11906923249,Newcastle Construction Group,CORP,Cancelled,"330 Jones Ave, Melbourne",7920,VIC,1994-04-24,480511184,
40585105596,Melbourne Consulting Group Ltd,IND,Cancelled,"871 Jones Ave, Perth",7892,VIC,1996-08-11,473845478,
62156329835,Brisbane Software Systems Corp,TRUST,Deregistered,"901 Taylor Ct, Brisbane",7806,WA,2012-04-09,180341157,
27100529161,Townsville Marine Services Group,COOP,Active,"575 Jones Ave, Brisbane",4627,NSW,1996-01-15,270647135,
56733055350,Townsville Marine Services Pty Ltd,IND,Active,"662 Taylor Ct, Sydney",7430,NT,2021-02-02,816493336,
99371377346,Canberra Education Services Corp,IND,Cancelled,"271 Wilson Dr, Melbourne",5709,WA,1996-09-03,123827472,
93800068711,Launceston Timber Group,CORP,Deregistered,"823 Jones Ave, Adelaide",9656,VIC,2011-02-20,634675649,
69805857974,Canberra Education Services Group,PART,Deregistered,"339 Taylor Ct, Adelaide",7813,ACT,1998-03-13,545885917,
11128296139,Toowoomba Manufacturing Pty Ltd,CORP,Deregistered,"884 Jones Ave, Adelaide",7419,VIC,2009-06-10,797831934,
77259533369,Launceston Timber Ltd,PART,Cancelled,"359 Jones Ave, Sydney",3943,NSW,2017-09-11,895827116,
11494709840,Bendigo Financial Services Corp,IND,Active,"699 Smith St, Brisbane",6353,TAS,2011-12-12,952107533,
20105770654,Bendigo Financial Services Ltd,CORP,Cancelled,"513 Jones Ave, Brisbane",7744,WA,1991-11-01,390623098,
73529844155,Adelaide Healthcare Group,LTD,Deregistered,"62 Wilson Dr, Canberra",1375,QLD,2022-05-14,579130833,Adelaide Healthcare Trading
30194881872,Geelong Automotive Corp,LTD,Active,"626 Wilson Dr, Canberra",9538,WA,2019-06-09,536056343,Geelong Automotive Trading
45426277227,Launceston Timber Pty Ltd,COOP,Active,"371 Taylor Ct, Brisbane",1950,NSW,2013-01-19,539288276,
65392539387,Bendigo Financial Services Group,CORP,Deregistered,"739 Jones Ave, Brisbane",8980,TAS,2005-08-19,909590346,Bendigo Financial Services Trading
82952972675,Canberra Education Services Ltd,TRUST,Cancelled,"30 Smith St, Brisbane",9591,ACT,2023-04-12,866129385,
85639121518,Adelaide Healthcare Corp,IND,Deregistered,"515 Smith St, Melbourne",7900,NT,2023-10-08,451107892,
68991183128,Tech Solutions Australia Pty Ltd,CORP,Deregistered,"283 Taylor Ct, Sydney",5576,SA,2004-03-07,207388163,
22812855067,Rockhampton Resources Corp,TRUST,Deregistered,"788 Brown Rd, Canberra",7615,QLD,2024-10-05,243858072,
64509288556,Bendigo Financial Services Pty Ltd,IND,Active,"131 Smith St, Perth",8674,TAS,2015-11-03,453706994,Bendigo Financial Services Trading
73216211507,Canberra Education Services Ltd,LTD,Deregistered,"446 Wilson Dr, Perth",2513,QLD,2015-12-05,775220682,
44701072130,Newcastle Construction Corp,PTY,Deregistered,"748 Smith St, Perth",6096,VIC,2021-07-01,171192523,
47929463356,Launceston Timber Group,PART,Deregistered,"612 Brown Rd, Brisbane",7991,SA,2020-08-13,442614273,
72221742290,Adelaide Healthcare Corp,PART,Active,"229 Wilson Dr, Canberra",4110,VIC,2016-04-01,844493551,
88614986517,Bendigo Financial Services Ltd,TRUST,Cancelled,"233 Taylor Ct, Canberra",8330,SA,2018-11-01,976969598,Bendigo Financial Services Trading
16742959193,Rockhampton Resources Group,COOP,Cancelled,"282 Taylor Ct, Adelaide",6965,NT,2020-06-20,786523015,
10822931348,Launceston Timber Group,LTD,Cancelled,"644 Jones Ave, Perth",1795,WA,2015-01-13,910015112,
41889389708,Tech Solutions Australia Ltd,IND,Active,"680 Taylor Ct, Melbourne",5335,WA,1991-09-28,306164833,
92616562347,Launceston Timber Ltd,IND,Active,"465 Brown Rd, Brisbane",7235,NSW,2017-11-17,842805755,
21334581360,Rockhampton Resources Ltd,COOP,Deregistered,"27 Jones Ave, Adelaide",7233,TAS,2003-09-15,219729548,Rockhampton Resources Trading
79181975402,Geelong Automotive Pty Ltd,COOP,Cancelled,"246 Taylor Ct, Canberra",6741,ACT,2000-07-13,392711623,Geelong Automotive Trading
39681667611,Adelaide Healthcare Pty Ltd,IND,Deregistered,"378 Brown Rd, Adelaide",3397,NSW,2009-06-12,809154152,
17771243537,Adelaide Healthcare Group,PART,Active,"209 Taylor Ct, Perth",9475,ACT,2012-08-13,116033205,
71747819997,Sydney Manufacturing Co Corp,PART,Cancelled,"830 Taylor Ct, Sydney",6235,WA,1991-06-01,386288602,
40811010317,Perth Mining Services Ltd,PART,Active,"257 Smith St, Canberra",4688,TAS,2015-04-08,483495881,Perth Mining Services Trading
65706357071,Townsville Marine Services Pty Ltd,COOP,Active,"583 Wilson Dr, Brisbane",3592,QLD,2001-01-27,866682848,
21941664301,Gold Coast Tourism Corp,COOP,Deregistered,"360 Smith St, Adelaide",4293,NT,2007-01-24,582686570,Gold Coast Tourism Trading
43983781648,Melbourne Consulting Group Group,TRUST,Cancelled,"385 Jones Ave, Adelaide",2908,SA,2008-01-01,756114360,Melbourne Consulting Group Trading
92780487635,Bendigo Financial Services Ltd,CORP,Active,"177 Smith St, Perth",4307,NSW,1999-11-18,926009040,Bendigo Financial Services Trading
83289906646,Bendigo Financial Services Pty Ltd,PTY,Cancelled,"504 Brown Rd, Canberra",8320,VIC,2013-12-01,583673792,Bendigo Financial Services Trading
67908963626,Adelaide Healthcare Ltd,COOP,Cancelled,"376 Taylor Ct, Adelaide",8741,QLD,2024-07-12,395432787,
77946738076,Hobart Fisheries Group,CORP,Cancelled,"550 Jones Ave, Canberra",5636,TAS,2015-08-12,934109296,Hobart Fisheries Trading
78124420703,Newcastle Construction Group,CORP,Active,"709 Taylor Ct, Brisbane",3522,NSW,2022-02-06,260330032,Newcastle Construction Trading
97783756419,Melbourne Consulting Group Corp,IND,Cancelled,"94 Taylor Ct, Adelaide",5685,ACT,1996-05-02,949576809,
12408646822,Adelaide Healthcare Corp,LTD,Deregistered,"156 Jones Ave, Sydney",8375,TAS,2015-12-10,119506875,
45892733432,Launceston Timber Group,PART,Active,"591 Wilson Dr, Adelaide",9460,NSW,2014-04-11,806415274,Launceston Timber Trading
42322196408,Cairns Agriculture Group,PART,Active,"820 Jones Ave, Canberra",2592,ACT,2000-04-13,296292860,Cairns Agriculture Trading
57170848014,Melbourne Consulting Group Ltd,IND,Active,"948 Brown Rd, Sydney",6959,NT,1993-04-19,836527265,Melbourne Consulting Group Trading
32926149266,Hobart Fisheries Corp,COOP,Active,"886 Wilson Dr, Canberra",9373,WA,2015-04-06,387373340,
44485153563,Geelong Automotive Corp,LTD,Active,"441 Brown Rd, Canberra",9551,SA,2023-01-20,472889878,
58154611622,Bendigo Financial Services Corp,PTY,Deregistered,"492 Smith St, Sydney",8430,SA,2010-04-02,794443772,
86305378835,Launceston Timber Ltd,IND,Active,"916 Smith St, Perth",8847,WA,2014-05-02,746495102,
98696459700,Townsville Marine Services Corp,IND,Cancelled,"902 Jones Ave, Melbourne",6508,VIC,2016-11-12,724787632,
71391673805,Townsville Marine Services Group,COOP,Deregistered,"123 Smith St, Sydney",1520,TAS,2023-05-05,773476913,
77495850752,Newcastle Construction Group,PTY,Active,"344 Smith St, Perth",3424,QLD,1992-01-06,146144522,Newcastle Construction Trading
55488813797,Townsville Marine Services Group,TRUST,Deregistered,"958 Jones Ave, Sydney",8231,VIC,2012-04-20,713917933,
39592043953,Bendigo Financial Services Corp,CORP,Deregistered,"764 Wilson Dr, Canberra",1354,WA,2004-02-09,672652350,Bendigo Financial Services Trading
76428846184,Hobart Fisheries Corp,IND,Deregistered,"241 Wilson Dr, Sydney",9033,SA,1999-05-11,926945641,
62355199714,Tech Solutions Australia Ltd,COOP,Deregistered,"31 Smith St, Adelaide",4410,SA,2002-01-07,611251796,Tech Solutions Australia Trading
34947245068,Rockhampton Resources Pty Ltd,TRUST,Deregistered,"433 Wilson Dr, Brisbane",7683,SA,2014-04-09,428115539,
95658393085,Sydney Manufacturing Co Group,PTY,Deregistered,"447 Brown Rd, Melbourne",3037,WA,1994-11-23,640178795,Sydney Manufacturing Co Trading
45450727155,Adelaide Healthcare Group,PART,Deregistered,"789 Brown Rd, Canberra",6655,NSW,2020-12-19,379450012,
99716593110,Hobart Fisheries Ltd,PART,Cancelled,"173 Taylor Ct, Adelaide",2582,VIC,2007-01-19,295526403,Hobart Fisheries Trading
95594790631,Perth Mining Services Corp,PTY,Active,"585 Taylor Ct, Canberra",8561,NT,2010-03-26,346686548,
31550245218,Tech Solutions Australia Corp,PART,Cancelled,"334 Brown Rd, Melbourne",2442,QLD,2017-02-18,272916509,Tech Solutions Australia Trading
99892014069,Rockhampton Resources Group,PART,Deregistered,"994 Wilson Dr, Brisbane",5199,SA,2021-02-21,262680378,
97686823712,Cairns Agriculture Ltd,TRUST,Deregistered,"732 Brown Rd, Adelaide",9663,ACT,2024-10-25,103854104,
61283652068,Bendigo Financial Services Group,TRUST,Active,"580 Brown Rd, Melbourne",5166,NSW,2003-02-08,703050381,Bendigo Financial Services Trading
20489176388,Rockhampton Resources Group,COOP,Cancelled,"404 Taylor Ct, Adelaide",9993,WA,1990-01-03,705570318,
20301390499,Sydney Manufacturing Co Pty Ltd,LTD,Active,"259 Brown Rd, Sydney",6890,SA,2001-11-09,118875965,
29212120407,Tech Solutions Australia Group,PART,Active,"490 Taylor Ct, Sydney",9428,QLD,2015-07-05,953493695,
47556195647,Launceston Timber Pty Ltd,COOP,Cancelled,"636 Taylor Ct, Canberra",4673,NSW,2004-02-15,237130877,
85790735267,Tech Solutions Australia Ltd,IND,Deregistered,"397 Taylor Ct, Sydney",9672,TAS,2000-01-11,772766679,Tech Solutions Australia Trading
26123208358,Cairns Agriculture Pty Ltd,COOP,Cancelled,"367 Brown Rd, Perth",4390,TAS,1993-08-01,449217953,Cairns Agriculture Trading
76303098360,Launceston Timber Ltd,IND,Deregistered,"720 Jones Ave, Brisbane",5903,VIC,2023-10-09,671830042,Launceston Timber Trading
37543627534,Ballarat Mining Ltd,CORP,Cancelled,"765 Smith St, Brisbane",1169,SA,2017-05-06,148554138,
83124244346,Toowoomba Manufacturing Corp,IND,Deregistered,"473 Smith St, Canberra",5745,VIC,1992-02-07,259745154,
52555291761,Toowoomba Manufacturing Group,IND,Cancelled,"472 Taylor Ct, Perth",2149,NSW,1991-07-25,417632030,
84902898917,Tech Solutions Australia Group,PART,Active,"517 Brown Rd, Sydney",4442,WA,2006-11-26,905582145,
19271370338,Adelaide Healthcare Group,IND,Active,"235 Wilson Dr, Sydney",1123,ACT,1994-08-17,778579608,
64878378300,Wollongong Steel Works Group,COOP,Active,"556 Smith St, Adelaide",3790,WA,2017-02-21,337037224,
53207988112,Tech Solutions Australia Ltd,LTD,Deregistered,"661 Taylor Ct, Canberra",7084,ACT,2018-03-16,458619728,
68628279700,Tech Solutions Australia Corp,COOP,Deregistered,"766 Smith St, Sydney",4109,TAS,2012-03-27,912311926,
60489232111,Melbourne Consulting Group Group,TRUST,Active,"414 Taylor Ct, Sydney",1377,SA,2024-09-22,702540124,Melbourne Consulting Group Trading
51592169446,Adelaide Healthcare Pty Ltd,COOP,Cancelled,"301 Taylor Ct, Perth",2608,TAS,2015-03-08,711318906,
18696164627,Canberra Education Services Pty Ltd,PTY,Active,"575 Smith St, Sydney",5375,ACT,2019-11-15,335577655,
